instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,count
1,20-12-2012,Winter,2012,December,23,No Holiday,Thursday,Non-Working Day,Heavy Snow or Rain,133
2,18-12-2011,Winter,2011,December,8,No Holiday,Sunday,Non-Working Day,Heavy Snow or Rain,132
3,06-04-2012,Spring,2012,April,2,No Holiday,Friday,Working Day,Light Rain or Mist,19
4,02-03-2011,Spring,2011,March,20,No Holiday,Wednesday,Working Day,Light Rain or Mist,58
5,21-02-2011,Winter,2011,February,17,No Holiday,Monday,Working Day,Heavy Snow or Rain,285
6,27-09-2011,Fall,2011,September,19,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,326
7,06-04-2012,Spring,2012,April,23,No Holiday,Friday,Working Day,Light Rain or Mist,75
8,11-04-2011,Spring,2011,April,22,No Holiday,Monday,Working Day,Light Rain or Mist,160
9,07-04-2011,Spring,2011,April,14,No Holiday,Thursday,Working Day,Light Rain or Mist,134
10,18-03-2011,Spring,2011,March,13,No Holiday,Friday,Non-Working Day,Light Rain or Mist,94
11,08-03-2012,Spring,2012,March,15,No Holiday,Thursday,Non-Working Day,Light Rain or Mist,463
12,16-01-2012,Winter,2012,January,19,No Holiday,Monday,Working Day,Heavy Snow or Rain,487
13,06-03-2012,Spring,2012,March,22,No Holiday,Tuesday,Working Day,Light Rain or Mist,288
14,18-01-2011,Winter,2011,January,0,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,46
15,11-01-2011,Winter,2011,January,6,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,103
16,24-09-2012,Fall,2012,September,7,No Holiday,Monday,Working Day,Cloudy or Light Rain,520
17,05-05-2011,Spring,2011,May,12,No Holiday,Thursday,Working Day,Light Rain or Mist,213
18,26-11-2012,Fall,2012,November,4,No Holiday,Monday,Non-Working Day,Cloudy or Light Rain,16
19,26-10-2012,Fall,2012,October,17,No Holiday,Friday,Working Day,Cloudy or Light Rain,465
20,21-02-2011,Winter,2011,February,1,No Holiday,Monday,Non-Working Day,Heavy Snow or Rain,34
21,26-08-2012,Summer,2012,August,5,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,37
22,09-08-2012,Summer,2012,August,6,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,88
23,04-04-2011,Spring,2011,April,15,No Holiday,Monday,Working Day,Light Rain or Mist,191
24,22-10-2012,Fall,2012,October,13,No Holiday,Monday,Non-Working Day,Cloudy or Light Rain,668
25,11-07-2011,Summer,2011,July,23,No Holiday,Monday,Non-Working Day,Clear or Partly Cloudy,25
26,21-03-2012,Spring,2012,March,13,No Holiday,Wednesday,Working Day,Light Rain or Mist,283
27,24-06-2011,Summer,2011,June,17,No Holiday,Friday,Non-Working Day,Clear or Partly Cloudy,165
28,13-02-2012,Winter,2012,February,10,No Holiday,Monday,Working Day,Heavy Snow or Rain,147
29,22-09-2012,Fall,2012,September,9,No Holiday,Saturday,Working Day,Cloudy or Light Rain,366
30,25-04-2012,Spring,2012,April,1,No Holiday,Wednesday,Working Day,Light Rain or Mist,21
31,03-03-2011,Spring,2011,March,23,No Holiday,Thursday,Working Day,Light Rain or Mist,167
32,13-02-2012,Winter,2012,February,10,No Holiday,Monday,Working Day,Heavy Snow or Rain,141
33,06-06-2011,Summer,2011,June,0,No Holiday,Monday,Working Day,Clear or Partly Cloudy,177
34,01-10-2012,Fall,2012,October,4,No Holiday,Monday,Working Day,Cloudy or Light Rain,6
35,02-09-2011,Fall,2011,September,8,No Holiday,Friday,Non-Working Day,Cloudy or Light Rain,30
36,22-02-2011,Winter,2011,February,17,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,579
37,21-12-2012,Winter,2012,December,23,No Holiday,Friday,Working Day,Heavy Snow or Rain,123
38,02-01-2011,Winter,2011,January,2,No Holiday,Sunday,Working Day,Heavy Snow or Rain,23
39,25-09-2012,Fall,2012,September,6,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,165
40,03-12-2012,Winter,2012,December,22,No Holiday,Monday,Non-Working Day,Heavy Snow or Rain,182
41,07-05-2012,Spring,2012,May,3,No Holiday,Monday,Non-Working Day,Light Rain or Mist,55
42,27-09-2012,Fall,2012,September,4,No Holiday,Thursday,Non-Working Day,Cloudy or Light Rain,13
43,08-05-2012,Spring,2012,May,1,No Holiday,Tuesday,Working Day,Light Rain or Mist,14
44,23-12-2011,Winter,2011,December,23,Holiday,Friday,Non-Working Day,Heavy Snow or Rain,75
45,21-07-2011,Summer,2011,July,8,No Holiday,Thursday,Non-Working Day,Clear or Partly Cloudy,8
46,05-08-2012,Summer,2012,August,23,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,138
47,16-01-2011,Winter,2011,January,6,No Holiday,Sunday,Non-Working Day,Heavy Snow or Rain,2
48,09-11-2011,Fall,2011,November,1,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,13
49,06-08-2011,Summer,2011,August,7,No Holiday,Saturday,Non-Working Day,Clear or Partly Cloudy,33
50,17-07-2011,Summer,2011,July,4,No Holiday,Sunday,Non-Working Day,Clear or Partly Cloudy,13
51,10-08-2011,Summer,2011,August,1,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,114
52,27-11-2011,Fall,2011,November,6,No Holiday,Sunday,Non-Working Day,Cloudy or Light Rain,10
53,23-02-2011,Winter,2011,February,10,No Holiday,Wednesday,Non-Working Day,Heavy Snow or Rain,49
54,17-08-2011,Summer,2011,August,12,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,153
55,18-09-2012,Fall,2012,September,0,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,76
56,03-09-2012,Fall,2012,September,12,No Holiday,Monday,Working Day,Cloudy or Light Rain,259
57,07-03-2011,Spring,2011,March,2,No Holiday,Monday,Working Day,Light Rain or Mist,7
58,14-12-2012,Winter,2012,December,0,No Holiday,Friday,Working Day,Heavy Snow or Rain,53
59,15-01-2012,Winter,2012,January,17,No Holiday,Sunday,Working Day,Heavy Snow or Rain,856
60,02-07-2012,Summer,2012,July,21,No Holiday,Monday,Non-Working Day,Clear or Partly Cloudy,234
61,01-03-2012,Spring,2012,March,3,No Holiday,Thursday,Working Day,Light Rain or Mist,5
62,09-02-2011,Winter,2011,February,7,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,70
63,19-05-2012,Spring,2012,May,16,No Holiday,Saturday,Working Day,Light Rain or Mist,520
64,04-09-2012,Fall,2012,September,7,No Holiday,Tuesday,Non-Working Day,Cloudy or Light Rain,48
65,10-02-2011,Winter,2011,February,11,No Holiday,Thursday,Working Day,Heavy Snow or Rain,165
66,27-12-2011,Winter,2011,December,14,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,63
67,18-08-2012,Summer,2012,August,10,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,108
68,15-03-2012,Spring,2012,March,9,No Holiday,Thursday,Working Day,Light Rain or Mist,367
69,21-04-2011,Spring,2011,April,12,No Holiday,Thursday,Non-Working Day,Light Rain or Mist,230
70,15-08-2011,Summer,2011,August,8,No Holiday,Monday,Working Day,Clear or Partly Cloudy,414
71,23-01-2012,Winter,2012,January,10,No Holiday,Monday,Working Day,Heavy Snow or Rain,83
72,03-02-2012,Winter,2012,February,14,No Holiday,Friday,Working Day,Heavy Snow or Rain,211
73,15-11-2012,Fall,2012,November,4,No Holiday,Thursday,Working Day,Cloudy or Light Rain,3
74,08-03-2012,Spring,2012,March,8,No Holiday,Thursday,Non-Working Day,Light Rain or Mist,144
75,20-04-2011,Spring,2011,April,5,No Holiday,Wednesday,Working Day,Light Rain or Mist,2
